[2023-08-14 13:12:17,212]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:12:17,213]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:12:17,215]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:12:17,216]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:12:17,218]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:12:17,219]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:12:17,220]: INFO: main_deepface : Deleted the image: ./static/passport (1).jpg]
[2023-08-14 13:12:18,436]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:12:19,774]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:12:19,801]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:12:19,802]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:12:19,802]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:12:19,804]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:12:19,809]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:12:19,812]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:12:19,814]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:12:19,816]: INFO: main_deepface : Deleted the image: ./static/passport (1).jpg]
[2023-08-14 13:12:20,927]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:12:22,189]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:12:22,228]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:12:22,229]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:12:22,230]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:12:22,232]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:12:22,234]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:12:22,235]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:12:22,236]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:12:22,239]: INFO: main_deepface : Deleted the image: ./static/passport (1).jpg]
[2023-08-14 13:12:23,295]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:12:24,601]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:12:24,634]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:12:24,635]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:12:24,636]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:12:24,641]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:12:24,642]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:12:24,643]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:12:24,643]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:12:24,644]: INFO: main_deepface : Deleted the image: ./static/passport (1).jpg]
[2023-08-14 13:12:36,591]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:12:37,541]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:12:37,565]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:12:37,566]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:12:37,569]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:12:37,573]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:12:37,574]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:12:37,575]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:12:37,576]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:12:39,046]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:12:39,988]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:12:40,023]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:12:40,024]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:12:40,026]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:12:40,026]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:12:40,027]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:12:40,028]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:12:40,029]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
